Co_ID,PO ID,Exchange,Name," Root
Ticker "," Market Cap (C$)
30-November-2020 "," O/S Shares
30-November-2020 ", Technology Sub-Sector ,Sector, Sub-Sector ,"HQ
Location","HQ
Region",Listing Type,Listing Date,QT Date,RTO Date,Date of Amalgamation,Trading on OTC,"CPC/
Former
CPC","2020
Venture 50",S&P/TSX Venture Composite Index,USA City,USA State,Asia Region,Isreal Related,Section," Volume YTD
30-November-2020 "," Value (C$) YTD
30-November-2020 "," Number of 
Trades YTD
30-November-2020 "," Number of
Months in
Trading Data "
V-04204,1171065,TSXV,01 Communique Laboratory Inc.,ONE,"  32,136,641 ","  91,818,973 ",Software,Technology,,ON,Canada,TSX Comedown,20140731,,,,,No,,,,,,,Tier2,"  19,017,271 ","  4,534,269 ","  3,557 ",11
V-04427,1181078,TSXV,A2Z Smart Technologies Corp.,AZ,"  48,749,430 ","  62,499,269 ",Hardware & Equipment,Technology,,Israel,Other,QT,20180418,20191223,,,,Yes,,,,,,Y,Tier2,"  6,945,186 ","  4,321,562 ","  2,566 ",11
V-01580,1099471,TSXV,Acceleware Ltd.,AXE,"  13,736,992 ","  105,669,170 ",Software,Technology,,AB,Canada,QT,20050406,20060119,,,,Yes,,Y,,,,,Tier2,"  5,379,650 ","  572,389 ",  783 ,11
V-02096,1024008,TSXV,Ackroo Inc.,AKR,"  17,365,206 ","  102,148,269 ",Internet Software & Services,Technology,,ON,Canada,RTO,,,20121010,,,Yes,,,,,,,Tier2,"  12,856,361 ","  1,682,586 ","  1,007 ",11
V-04500,1181511,TSXV,Adcore Inc.,ADCO,"  35,430,782 ","  56,239,336 ",Internet Software & Services,Technology,,Israel,Other,QT,20181026,20190529,,,,Yes,,,,,,Y,Tier1,"  9,942,722 ","  6,276,283 ","  3,195 ",11
V-00041,10983,TSXV,Advent-AWI Holdings Inc.,AWI,"  12,293,578 ","  11,935,513 ",Communication Technology,Technology,,BC,Canada,,,,,,,No,,,,,,,Tier2,"  291,044 ","  303,908 ",  150 ,11
V-03017,1124605,TSXV,AirIQ Inc.,IQ,"  10,141,842 ","  29,828,947 ",Software,Technology,,ON,Canada,TSX Comedown,20090909,,,,,No,,,,,,,Tier2,"  8,618,853 ","  2,433,448 ","  1,639 ",11
V-00081,1094985,TSXV,Alphinat Inc.,NPA,"  3,473,193 ","  63,148,956 ",Internet Software & Services,Technology,,Quebec,Canada,QT,,20050427,,,,Yes,,,,,,,Tier2,"  3,457,804 ","  160,742 ",  126 ,11
V-01433,1064945,TSXV,AnalytixInsight Inc.,ALY,"  62,464,363 ","  81,122,549 ",Software,Technology,,BC,Canada,,,,,,OTCQB,No,Y,Y,,,,,Tier2,"  24,216,579 ","  11,623,417 ","  6,314 ",11
V-04125,1163405,TSXV,Aquarius AI Inc.,AQUA,"  2,360,780 ","  24,850,316 ",Communication Technology,Technology,,BC,Canada,QT,20130507,20180131,,,,Yes,,,,,,,Tier2,"  31,819,972 ","  1,067,666 ","  1,946 ",11
V-02084,30646,TSXV,ARHT Media Inc.,ART,"  30,589,103 ","  92,694,251 ",Software,Technology,,ON,Canada,RTO,,,20141017,,,No,,,,,,,Tier2,"  122,478,440 ","  51,970,556 ","  28,700 ",11
V-00141,1019948,TSXV,Armada Data Corporation,ARD,"  1,855,378 ","  17,670,265 ",IT Consulting & Services,Technology,,ON,Canada,,,,,,,No,,,,,,,Tier2,"  3,837,448 ","  330,730 ",  227 ,11
V-04375,1179775,TSXV,Astron Connect Inc.,AST,"  2,880,612 ","  82,303,211 ",Internet Software & Services,Technology,,BC,Canada,QT,20171003,20180830,,,,Yes,,,,,,,Tier2,"  870,273 ","  37,406 ",  41 ,10
V-02754,1117125,TSXV,ATW Tech Inc.,ATW,"  8,640,342 ","  192,007,606 ",Software,Technology,,Quebec,Canada,RTO,20080320,20100324,20121211,,,Yes,,,,,,,Tier2,"  23,447,679 ","  817,007 ","  1,234 ",11
V-02434,1109863,TSXV,Avante Logixx Inc.,XX,"  26,490,005 ","  21,192,004 ",Hardware & Equipment,Technology,,ON,Canada,QT,20070112,20080404,,,,Yes,,,,,,,Tier2,"  4,617,479 ","  4,961,456 ","  1,259 ",11
V-03910,1150455,TSXV,Axion Ventures Inc.,AXV,"  46,671,994 ","  245,642,076 ",Software,Technology,Gaming,China,Asia,QT from NEX,20111202,20160518,,,OTCQX,Yes,,,,,Shanghai,,Tier1,"  2,215,329 ","  485,991 ",  617 ,8
V-01507,1091046,TSXV,Backstageplay Inc.,BP,"  1,534,671 ","  15,346,706 ",Internet Software & Services,Technology,,BC,Canada,Other,20050617,,,,,No,,,,,,,Tier2,"  1,542,124 ","  113,329 ",  206 ,7
V-02641,1114705,TSXV,betterU Education Corp.,BTRU,"  1,565,435 ","  78,271,751 ",Internet Software & Services,Technology,,ON,Canada,COB,20170308,,,,,Yes,,,,,,,Tier2,"  8,128,389 ","  360,608 ",  495 ,7
V-01794,1062186,TSXV,BeWhere Holdings Inc.,BEW,"  19,774,809 ","  87,888,039 ",Software,Technology,,ON,Canada,RTO from NEX,,,20160209,,OTCQB,No,,,,,,,Tier2,"  27,799,847 ","  4,383,085 ","  3,727 ",11
V-04579,1182715,TSXV,Bitfarms Ltd.,BITF,"  69,437,234 ","  85,724,980 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,Quebec,Canada,Other,20190716,,,,,No,,,,,,Y,Tier2,"  38,847,818 ","  21,785,213 ","  25,022 ",11
V-02557,1112686,TSXV,Blackline Safety Corp.,BLN,"  357,011,122 ","  48,310,030 ",Internet Software & Services,Technology,,AB,Canada,QT,20070709,20090305,,,,Yes,,Y,,,,,Tier2,"  4,035,514 ","  24,409,318 ","  3,271 ",11
V-01089,18596,TSXV,BlockchainK2 Corp.,BITK,"  5,931,501 ","  16,250,687 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,COB,20180530,,,,OTCQB,No,,,,,,,Tier2,"  3,549,106 ","  1,232,761 ","  1,401 ",11
V-01730,1092769,TSXV,BlockMint Technologies Inc.,BKMT,"  6,197,670 ","  44,269,068 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,USA,USA,RTO from NEX,,,20190221,,,No,,,Portland,OR,,,Tier2,"  942,788 ","  97,776 ",  119 ,10
V-01833,1097409,TSXV,BlueRush Inc.,BTV,"  5,877,468 ","  78,366,242 ",Software,Technology,,ON,Canada,QT,20050117,20070508,,,,Yes,,,,,,,Tier2,"  3,790,118 ","  246,420 ",  276 ,11
V-04451,1181491,TSXV,Boardwalktech Software Corp.,BWLK,"  10,306,929 ","  20,209,664 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,USA,USA,Other,20180611,,,,,No,,,Cupertino,CA,,,Tier2,"  2,660,433 ","  1,428,772 ",  969 ,11
V-01767,29468,TSXV,BPLI Holdings Inc.,BPLI,"  16,018,019 ","  106,786,793 ",Internet Software & Services,Technology,,NL,Canada,RTO,,,20120127,,,No,,,,,,,Tier2,"  2,505,642 ","  251,174 ",  244 ,11
V-01705,1099111,TSXV,Bragg Gaming Group Inc.,BRAG,"  94,684,630 ","  115,469,061 ",Internet Software & Services,Technology,,ON,Canada,QT,20050318,20070709,,,OTCQX,Yes,,Y,,,,,Tier1,"  74,013,492 ","  46,018,146 ","  17,133 ",11
V-04667,1184080,TSXV,Carebook Technologies Inc.,CRBK,"  45,765,942 ","  30,510,628 ",Software,Technology,,Quebec,Canada,Other,20201006,,,,,No,,,,,,,Tier1,"  4,785,285 ","  8,840,230 ","  8,038 ",2
V-00293,1054309,TSXV,C-Com Satellite Systems Inc.,CMI,"  102,580,178 ","  39,302,750 ",Communication Technology,Technology,,ON,Canada,,,,,,,No,,Y,,,,,Tier1,"  8,097,254 ","  18,563,341 ","  7,969 ",11
V-04645,1183990,TSXV,CloudMD Software & Services Inc.,DOC,"  398,332,574 ","  163,922,870 ",Internet Software & Services,Technology,,BC,Canada,Other,20200604,,,,,No,,,,,,,Tier1,"  265,531,305 ","  515,376,883 ","  275,207 ",6
V-01085,15624,TSXV,Contagious Gaming Inc.,CNS,"  1,326,094 ","  29,468,745 ",Software,Technology,Gaming,ON,Canada,RTO,,,20140923,,,No,,,,,,,Tier2,"  2,064,739 ","  72,347 ",  236 ,11
V-04430,1181118,TSXV,Converge Technology Solutions Corp.,CTS,"  414,095,624 ","  127,414,038 ",IT Consulting & Services,Technology,,BC,Canada,QT,20180430,20181113,,,OTCQX,Yes,Y,Y,,,,,Tier2,"  57,339,607 ","  124,923,150 ","  49,842 ",11
V-04339,1179390,TSXV,Cryptostar Corp.,CSTR,"  14,221,565 ","  218,793,300 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,ON,Canada,QT,20170519,20181002,,,,Yes,,,,,,,Tier1,"  127,967,127 ","  7,463,105 ","  7,204 ",11
V-04581,1182726,TSXV,CubicFarm Systems Corp.,CUB,"  89,230,497 ","  84,179,714 ",Hardware & Equipment,Technology,Agriculture,BC,Canada,Other,20190729,,,,,No,,,,,,,Tier1,"  11,715,116 ","  8,333,480 ","  5,236 ",11
V-04527,1181445,TSXV,CurrencyWorks Inc.,CWRK,"  1,920,932 ","  34,926,033 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,USA,USA,Other,20181204,,,,OTCQB,No,,,Los Angeles,CA,,,Tier2,"  5,916,017 ","  395,159 ",  464 ,11
V-02333,1104706,TSXV,Darelle Online Solutions Inc.,DAR,"  1,105,622 ","  73,708,147 ",Internet Software & Services,Technology,Gaming,BC,Canada,QT,20060728,20071102,,,,Yes,,,,,,,Tier2,,,,
V-04061,1151746,TSXV,Datable Technology Corporation,DAC,"  6,473,693 ","  129,473,856 ",Software,Technology,,BC,Canada,QT,20121026,20141110,,,,Yes,,,,,,,Tier2,"  116,570,103 ","  4,791,886 ","  3,560 ",11
V-03912,1150876,TSXV,Datametrex AI Limited,DM,"  25,460,691 ","  268,007,270 ",Hardware & Equipment,Technology,,ON,Canada,QT from NEX,20111213,20170612,,,,Yes,,Y,,,,,Tier2,"  566,711,782 ","  71,911,075 ","  43,443 ",11
V-02833,1117857,TSXV,DeepMarkit Corp.,MKT,"  532,379 ","  17,745,967 ",Internet Software & Services,Technology,,AB,Canada,QT,20080620,20091215,,,,Yes,,,,,,,Tier2,"  2,442,175 ","  76,678 ",  307 ,11
V-04376,1179320,TSXV,Delphx Capital Markets Inc.,DELX,"  7,728,523 ","  96,606,542 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,ON,Canada,QT,20171024,20180427,,,,Yes,,,,,,,Tier2,"  4,613,622 ","  407,499 ",  645 ,11
V-03652,1116662,TSXV,Destiny Media Technologies Inc.,DSY,"  9,538,898 ","  10,598,775 ",Internet Software & Services,Technology,,BC,Canada,Other,20101012,,,,OTCQB,No,,,,,,,Tier2,"  1,000,124 ","  938,735 ",  602 ,11
V-04662,1180410,TSXV,Deveron Corp.,FARM,"  22,739,678 ","  51,681,086 ",Software,Technology,Agriculture,ON,Canada,Other,20200921,,,,,No,,,,,,,Tier2,"  3,532,061 ","  1,152,039 ",  451 ,3
V-00550,1064895,TSXV,Diagnos Inc.,ADK,"  37,483,037 ","  64,625,925 ",IT Consulting & Services,Technology,,Quebec,Canada,,,,,,OTCQB,No,,,,,,,Tier2,"  30,809,558 ","  10,483,148 ","  5,102 ",11
V-04392,1180620,TSXV,Digihost Technology Inc.,DGHI,"  14,426,518 ","  40,073,661 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,RTO,20171218,,20200220,,OTCQB,No,,,,,,,Tier2,"  24,001,704 ","  2,342,656 ","  4,373 ",11
V-04047,1157850,TSXV,DMG Blockchain Solutions Inc.,DMGI,"  33,179,788 ","  100,544,812 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,QT,20120927,20180213,,,OTCQB,Yes,,,,,,,Tier2,"  121,688,328 ","  16,221,952 ","  13,563 ",11
V-04390,1180051,TSXV,Drone Delivery Canada Corp.,FLT,"  190,753,288 ","  192,680,089 ",Hardware & Equipment,Technology,,ON,Canada,Other,20171227,,,,OTCQX,No,,Y,,,,,Tier2,"  109,859,811 ","  82,013,893 ","  89,427 ",11
V-00523,1020568,TSXV,DXStorm.com Inc.,DXX,"  829,180 ","  20,729,508 ",Internet Software & Services,Technology,,ON,Canada,,,,,,,No,,,,,,,Tier2,"  906,835 ","  78,764 ",  138 ,7
V-01079,1024001,TSXV,Edgewater Wireless Systems Inc.,YFI,"  14,427,784 ","  169,738,630 ",Communication Technology,Technology,,ON,Canada,RTO from NEX,,,20111102,,OTCQB,No,,,,,,,Tier2,"  20,503,998 ","  936,429 ","  1,363 ",10
V-01338,1100569,TSXV,Ellipsiz Communications Ltd.,ECT,"  309,996 ","  30,999,641 ",Communication Technology,Technology,,Taiwan,Asia,RTO from NEX,20050223,,20151126,,,No,,,,,Taiwan,,Tier2,"  561,090 ","  15,864 ",  78 ,6
V-01482,817378,TSXV,Enablence Technologies Inc.,ENA,"  9,628,911 ","  641,927,418 ",Hardware & Equipment,Technology,,ON,Canada,RTO,,,20060727,,,No,,,,,,,Tier1,"  3,956,011 ","  54,520 ",  243 ,6
V-02864,1119023,TSXV,Engagement Labs Inc.,EL,"  4,682,865 ","  234,143,241 ",Internet Software & Services,Technology,,Quebec,Canada,QT,20080725,20090512,,,,Yes,,,,,,,Tier2,"  17,847,377 ","  462,317 ",  810 ,11
V-03974,1152870,TSXV,"Engine Media Holdings, Inc.",GAME,"  68,517,988 ","  7,786,135 ",Internet Software & Services,Technology,Gaming,ON,Canada,QT from NEX,20120307,20161027,,,OTCQB,Yes,,,,,,,Tier2,"  52,567,299 ","  57,830,262 ","  26,191 ",11
V-04242,1174145,TSXV,EQ Inc.,EQ,"  63,682,644 ","  48,244,427 ",Internet Software & Services,Technology,,ON,Canada,TSX Comedown,20150331,,,,,No,,Y,,,,,Tier2,"  7,339,513 ","  8,370,477 ","  3,000 ",11
V-04025,1150330,TSXV,eQube Gaming Limited,EQG,"  1,359,933 ","  30,220,727 ",Software,Technology,,AB,Canada,QT,20120629,20141104,,,,Yes,,,,,,,Tier2,"  1,398,080 ","  69,061 ",  75 ,10
V-04440,1181270,TSXV,Facedrive Inc.,FD,"  1,246,608,734 ","  93,729,980 ",Internet Software & Services,Technology,,ON,Canada,QT,20180530,20190919,,,,Yes,,Y,,,,,Tier2,"  25,995,647 ","  353,634,194 ","  115,475 ",11
V-01683,1095337,TSXV,Fintech Select Ltd.,FTEC,"  2,834,981 ","  70,874,515 ",Software,Technology,,ON,Canada,QT,,20061011,,,,Yes,,,,,,,Tier2,"  27,435,706 ","  859,250 ","  1,723 ",11
V-03863,1150720,TSXV,First Global Data Limited,FGD,"  17,848,661 ","  254,980,876 ",Internet Software & Services,Technology,,ON,Canada,QT,20110929,20121130,,,,Yes,,,,,,,Tier2,,,,
V-03755,1143030,TSXV,FluroTech Ltd.,TEST,"  8,141,072 ","  54,273,814 ",Hardware & Equipment,Technology,Cannabis,AB,Canada,QT from NEX,20110322,20180612,,,OTCQB,Yes,,,,,,,Tier2,"  19,366,571 ","  4,593,729 ","  3,925 ",11
V-00043,1076112,TSXV,FLYHT Aerospace Solutions Ltd.,FLY,"  15,885,094 ","  26,041,137 ",Communication Technology,Technology,,AB,Canada,,,,,,OTCQX,Yes,,Y,,,,,Tier2,"  10,659,718 ","  7,751,456 ","  5,958 ",11
V-03913,1153360,TSXV,Fortress Technologies Inc.,FORT,"  13,332,677 ","  70,171,984 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,ON,Canada,QT from NEX,20111228,20180822,,,,Yes,,,,,,,Tier1,"  17,917,001 ","  2,473,069 ",  925 ,11
V-03948,1150705,TSXV,G6 Material Corp.,GGG,"  6,299,057 ","  96,908,575 ",Hardware & Equipment,Technology,,USA,USA,RTO,20120206,,20140811,,OTCQB,No,,,Ronkonkoma,NY,,,Tier2,"  59,674,381 ","  4,842,747 ","  6,082 ",11
V-03715,1140775,TSXV,Gatekeeper Systems Inc.,GSI,"  55,428,090 ","  89,400,145 ",Hardware & Equipment,Technology,,BC,Canada,QT,20110107,20130226,,,,Yes,,Y,,,,,Tier2,"  76,810,799 ","  34,796,076 ","  19,009 ",11
V-03681,1137059,TSXV,Geekco Technologies Corporation,GKO,"  15,767,391 ","  36,246,875 ",Communication Technology,Technology,,Quebec,Canada,QT from NEX,20101105,20201014,,,,Yes,,,,,,,Tier2,"  1,290,060 ","  484,847 ",  246 ,3
V-03053,1121856,TSXV,GINSMS Inc.,GOK,"  4,493,816 ","  149,793,861 ",Communication Technology,Technology,,Hong Kong,Asia,IPO,20091218,,,,,No,,,,,Hong Kong,,Tier2,"  1,309,539 ","  69,137 ",  189 ,9
V-04090,1161420,TSXV,Globalive Technology Inc.,LIVE,"  697,707 ","  6,977,073 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,ON,Canada,QT from NEX,20121228,20180613,,,,Yes,,,,,,,Tier2,"  4,047,224 ","  271,699 ",  389 ,6
V-04361,1179987,TSXV,Goldspot Discoveries Corp.,SPOT,"  39,784,448 ","  94,724,876 ",Software,Technology,Mining Services,ON,Canada,QT,20170824,20190221,,,,Yes,,,,,,,Tier1,"  37,003,774 ","  7,545,627 ","  5,905 ",11
V-04332,1178925,TSXV,Golo Mobile Inc.,WLTR,"  23,226,769 ","  154,845,125 ",Internet Software & Services,Technology,,Quebec,Canada,QT,20170321,20190702,,,,Yes,,,,,,,Tier2,"  7,055,563 ","  1,881,555 ","  1,335 ",11
V-04668,1184225,TSXV,"Hapbee Technologies, Inc.",HAPB,"  25,538,836 ","  47,294,140 ",Hardware & Equipment,Technology,,BC,Canada,Other,20201030,,,,,No,,,,,,,Tier2,"  3,852,113 ","  2,447,251 ",  910 ,2
V-00223,28597,TSXV,Helix Applications Inc.,HELX,"  9,003,530 ","  51,448,741 ",Software,Technology,,AB,Canada,COB,20181030,,,,,No,,,,,,,Tier2,"  776,159 ","  97,205 ",  162 ,10
V-01553,16826,TSXV,HIVE Blockchain Technologies Ltd.,HIVE,"  432,088,205 ","  345,670,564 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,RTO from NEX,,,20170918,,OTCQX,No,,Y,,,,,Tier2,"  748,201,342 ","  305,817,792 ","  160,011 ",11
V-04302,1177340,TSXV,H-Source Holdings Ltd.,HSI,"  2,113,574 ","  70,452,463 ",Internet Software & Services,Technology,,USA,USA,Other,20160725,,,,OTCQB,No,,,Spokane,WA,,,Tier2,"  4,088,117 ","  168,207 ",  320 ,7
V-01688,35648,TSXV,Hunter Technology Corp.,HOC,"  36,879,141 ","  33,224,451 ",Blockchain/Cryptocurrency,Technology,Energy Services,BC,Canada,Other,,,,,OTCQX,No,,,,,,,Tier2,"  849,021 ","  738,511 ","  1,008 ",11
V-00418,38980,TSXV,Identillect Technologies Corp.,ID,"  2,208,239 ","  147,215,964 ",Internet Software & Services,Technology,,USA,USA,RTO from NEX,,,20160525,,,No,,,San Juan Capistrano,CA,,,Tier2,"  35,616,238 ","  488,356 ","  1,127 ",11
V-02599,1115128,TSXV,iLOOKABOUT Corp.,ILA,"  75,435,457 ","  163,990,123 ",Software,Technology,,ON,Canada,QT,20070917,20080407,,,OTCQB,Yes,,,,,,,Tier2,"  26,583,086 ","  5,893,800 ","  3,315 ",10
V-02699,1115160,TSXV,iMining Blockchain and Cryptocurrency Inc.,IMIN,"  2,307,496 ","  38,458,265 ",Blockchain/Cryptocurrency,Technology,Blockchain/Cryptocurrency,BC,Canada,COB,20180420,,,,,Yes,,,,,,,Tier2,"  15,326,998 ","  880,781 ","  1,817 ",10
V-03717,1122416,TSXV,INEO Tech Corp.,INEO,"  8,949,763 ","  40,680,740 ",Hardware & Equipment,Technology,,BC,Canada,RTO,20180130,,20200129,,,No,,,,,,,Tier2,"  2,379,462 ","  608,499 ",  427 ,11
V-03965,1152882,TSXV,InsuraGuest Technologies Inc.,ISGI,"  8,392,155 ","  41,960,777 ",Software,Technology,,BC,Canada,COB,20200228,,,,,No,,,,,,,Tier2,"  4,326,783 ","  774,360 ",  676 ,10
V-00307,1074165,TSXV,Intema Solutions Inc.,ITM,"  1,595,076 ","  79,753,790 ",Software,Technology,,Quebec,Canada,,,,,,,Yes,,,,,,,Tier2,"  16,323,471 ","  682,999 ",  913 ,11
V-00489,1060776,TSXV,Interlapse Technologies Corp.,INLA,"  10,739,116 ","  30,683,189 ",Software,Technology,,BC,Canada,COB,20190530,,,,OTCQB,No,,,,,,,Tier2,"  2,758,667 ","  489,126 ",  717 ,11
